iter	Passed	Remaining
0	1	156
1	2	132
2	3	121
3	4	109
4	5	106
5	6	101
6	7	98
7	8	96
8	9	94
9	10	91
10	11	89
11	12	88
12	12	86
13	13	85
14	14	83
15	15	82
16	16	81
17	17	80
18	18	79
19	19	78
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	83	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
