iter	Passed	Remaining
0	170	170619
1	175	87617
2	186	61961
3	194	48447
4	200	39829
5	204	33935
6	213	30273
7	218	27047
8	224	24700
9	228	22642
10	231	20784
11	233	19229
12	235	17884
13	239	16857
14	241	15862
15	243	14951
16	244	14144
17	246	13430
18	248	12812
19	249	12233
20	253	11819
21	254	11330
22	256	10882
23	257	10470
24	258	10088
25	260	9740
26	261	9426
27	262	9122
28	264	8843
29	267	8642
30	268	8399
31	270	8169
32	271	7953
33	272	7747
34	273	7553
35	276	7394
36	277	7225
37	278	7060
38	281	6946
39	283	6813
40	285	6672
41	286	6535
42	287	6404
43	289	6282
44	290	6164
45	291	6050
46	293	5945
47	297	5893
48	298	5797
49	300	5706
50	302	5627
51	305	5571
52	308	5517
53	312	5480
54	314	5399
55	315	5320
56	316	5244
57	318	5168
58	319	5094
59	320	5025
60	322	4959
61	323	4893
62	327	4866
63	330	4832
64	332	4776
65	334	4730
66	335	4673
67	336	4617
68	338	4564
69	339	4511
70	343	4499
71	345	4448
72	346	4399
73	347	4353
74	349	4307
75	350	4261
76	351	4216
77	352	4171
78	354	4129
79	357	4113
80	359	4076
81	360	4036
82	361	3989
83	362	3953
84	363	3918
85	365	3880
86	366	3844
87	367	3810
88	368	3776
89	370	3742
90	374	3737
91	376	3711
92	377	3686
93	379	3659
94	381	3631
95	382	3604
96	384	3577
97	386	3554
98	388	3536
99	390	3512
100	391	3488
101	394	3473
102	396	3449
103	397	3424
104	398	3398
105	400	3377
106	403	3368
107	404	3344
108	406	3322
109	408	3301
110	409	3279
111	410	3257
112	412	3234
113	413	3213
114	415	3194
115	417	3183
116	419	3166
117	421	3146
118	422	3125
119	423	3105
120	424	3084
121	425	3062
122	426	3043
123	428	3024
124	429	3006
125	431	2992
126	433	2981
127	435	2964
128	436	2946
129	437	2928
130	438	2911
131	440	2894
132	441	2877
133	442	2861
134	444	2846
135	448	2846
136	449	2834
137	451	2822
138	453	2811
139	455	2797
140	457	2784
141	459	2775
142	464	2782
143	466	2774
144	469	2766
145	470	2754
146	474	2752
147	475	2739
148	478	2735
149	481	2727
150	483	2717
151	485	2708
152	487	2699
153	489	2687
154	490	2676
155	494	2672
156	496	2663
157	498	2654
158	501	2653
159	509	2673
160	510	2660
161	512	2649
162	518	2659
163	521	2659
164	525	2661
165	528	2652
166	529	2642
167	531	2631
168	537	2644
169	541	2644
170	543	2633
171	544	2623
172	547	2615
173	549	2606
174	550	2597
175	554	2596
176	557	2590
177	558	2580
178	561	2576
179	572	2610
180	575	2602
181	576	2592
182	578	2582
183	580	2572
184	587	2589
185	590	2582
186	592	2577
187	594	2569
188	597	2564
189	603	2572
190	604	2560
191	605	2549
192	609	2550
193	612	2542
194	617	2548
195	623	2557
196	626	2552
197	633	2564
198	634	2553
199	639	2557
200	641	2550
201	643	2541
